product_id,product_name,category_id,category_name,price,created_at
71,Windows Server 4,4,アクセサリ,149056,2024-07-23
72,Surface Laptop 3,3,ソフトウェア,72512,2024-07-23
73,Xbox Game Pass 2,2,ゲーム・エンタメ,155346,2024-07-23
74,Type Cover 3,3,ソフトウェア,102063,2024-07-23
75,Surface Earbuds 3,4,アクセサリ,170277,2024-07-23
76,Xbox コントローラー 5,2,ゲーム・エンタメ,6964,2024-07-23
77,Surface Earbuds 1,2,ゲーム・エンタメ,186628,2024-07-23
78,Arc Mouse 5,5,サービス,239784,2024-07-23
79,OneDrive 4,2,ゲーム・エンタメ,152305,2024-07-23
80,Surface スリム ペン 4,5,サービス,178766,2024-07-23
81,Xbox Series 3,5,サービス,124839,2024-07-23
82,Surface Mouse 5,2,ゲーム・エンタメ,170607,2024-07-23
83,USB-C Charger 6,5,サービス,150847,2024-07-23
84,Type Cover 4,3,ソフトウェア,169050,2024-07-23
85,OneDrive 3,1,PC・タブレット,191925,2024-07-23
86,Surface Mouse 2,3,ソフトウェア,162403,2024-07-23
87,Modern Webcam 3,5,サービス,101571,2024-07-23
88,Xbox Game Pass 4,2,ゲーム・エンタメ,170698,2024-07-23
89,Surface Dock 2,5,サービス,92091,2024-07-23
90,USB-C Charger 3,1,PC・タブレット,229886,2024-07-23
91,Windows Server 1,2,ゲーム・エンタメ,143915,2024-07-23
92,Modern Webcam 4,3,ソフトウェア,232360,2024-07-23
93,Office 4,2,ゲーム・エンタメ,189033,2024-07-23
94,OneDrive 5,3,ソフトウェア,128132,2024-07-23
95,Microsoft 365 3,2,ゲーム・エンタメ,98841,2024-07-23
96,Surface Dock 3,3,ソフトウェア,248429,2024-07-23
97,Surface ペン 6,3,ソフトウェア,220628,2024-07-23
98,Xbox Game Pass 1,2,ゲーム・エンタメ,6168,2024-07-23
99,Type Cover 6,3,ソフトウェア,233597,2024-07-23
100,Type Cover 2,5,サービス,202777,2024-07-23
